Product ID,Product Name,Category,Color,Size,Fabric,Pattern,Fit Type,Weather Suitability,Occasion,Price,Availability,Brand,Image URL,Model Display URL,User Ratings,Product Description,Keywords for Search
1,T-Shirt 1,T-Shirt,Beige,M,Linen,Solid,Loose,Hot,Casual,35.35,In Stock,Generic,Dataset\tshirt\1.jpg,,4.9,"T-shirt, fashion, clothing, Beige, Solid, Casual, Hot"
10,T-Shirt 10,T-Shirt,Black,XL,Linen,Solid,Slim,Rainy,Party,49,In Stock,Generic,Dataset\tshirt\10.jpg,,3.3,"T-shirt, fashion, clothing, Black, Solid, Party, Rainy"
100,T-Shirt 100,T-Shirt,Blue,S,Wool,Solid,Oversized,Moderate,Casual,28.5,Out of Stock,Generic,Dataset\tshirt\100.jpg,,3.1,"T-shirt, fashion, clothing, Blue, Solid, Casual, Moderate"
1000,T-Shirt 1000,T-Shirt,Grey,XL,Polyester,Graphic,Regular,Cold,Sportswear,19.18,Out of Stock,Generic,Dataset\tshirt\1000.jpg,,3.1,"T-shirt, fashion, clothing, Grey, Graphic, Sportswear, Cold"
1001,T-Shirt 1001,T-Shirt,White,S,Cotton,Solid,Oversized,Hot,Casual,14.19,Out of Stock,Generic,Dataset\tshirt\1001.jpg,,3,"T-shirt, fashion, clothing, White, Solid, Casual, Hot"
1002,T-Shirt 1002,T-Shirt,White,L,Cotton,Solid,Oversized,Hot,Sportswear,35.96,In Stock,Generic,Dataset\tshirt\1002.jpg,,4.8,"T-shirt, fashion, clothing, White, Solid, Sportswear, Hot"
1003,T-Shirt 1003,T-Shirt,Grey,L,Polyester,Solid,Loose,Cold,Party,41.09,Out of Stock,Generic,Dataset\tshirt\1003.jpg,,3.2,"T-shirt, fashion, clothing, Grey, Solid, Party, Cold"
1004,T-Shirt 1004,T-Shirt,Blue,XL,Cotton,Graphic,Loose,Hot,Formal,10.8,Out of Stock,Generic,Dataset\tshirt\1004.jpg,,4.4,"T-shirt, fashion, clothing, Blue, Graphic, Formal, Hot"
1005,T-Shirt 1005,T-Shirt,White,XL,Linen,Graphic,Slim,Moderate,Sportswear,19.4,In Stock,Generic,Dataset\tshirt\1005.jpg,,3,"T-shirt, fashion, clothing, White, Graphic, Sportswear, Moderate"
1006,T-Shirt 1006,T-Shirt,White,M,Polyester,Striped,Loose,Rainy,Casual,11.64,Out of Stock,Generic,Dataset\tshirt\1006.jpg,,4.5,"T-shirt, fashion, clothing, White, Striped, Casual, Rainy"
1007,T-Shirt 1007,T-Shirt,Blue,M,Linen,Solid,Slim,Cold,Sportswear,41.23,Out of Stock,Generic,Dataset\tshirt\1007.jpg,,4.5,"T-shirt, fashion, clothing, Blue, Solid, Sportswear, Cold"
1008,T-Shirt 1008,T-Shirt,Black,M,Wool,Solid,Regular,Moderate,Formal,12.83,Out of Stock,Generic,Dataset\tshirt\1008.jpg,,4.4,"T-shirt, fashion, clothing, Black, Solid, Formal, Moderate"
1009,T-Shirt 1009,T-Shirt,Black,M,Cotton,Graphic,Regular,Moderate,Party,15.78,Out of Stock,Generic,Dataset\tshirt\1009.jpg,,3.5,"T-shirt, fashion, clothing, Black, Graphic, Party, Moderate"
